Id;Villes;Label;Lat;Lon;Pays
1;Ablis;Ablis;48,5327777778;1,8311111111;FRA
2;Agen;Agen (avant 2018);44,1844444444;0,6411111111;FRA
3;Albi;Albi;43,9294444444;2,1819444444;FRA
4;Angoulême;Angoulême;45,5783333333;0,0422222222;FRA
5;Arcis s/Aube;Arcis s/Aube;48,5333333333;4,1202777778;FRA
6;Argenton;Argenton;46,5886111111;1,5263888889;FRA
7;Arlon;Arlon;49,6786944444;5,8021111111;BEL
8;Aurillac;Aurillac;44,9175;2,4297222222;FRA
9;Auxerre;Auxerre;47,8116666667;3,5661111111;FRA
10;Barcelona;Barcelona;41,4030555556;2,2155555556;ESP
11;Biarritz;Biarritz;43,3861111111;-1,6580555556;FRA
12;Bordeaux;Bordeaux;44,8872222222;-0,5538888889;FRA
13;Bourges;Bourges (ancien);47,0497222222;2,4052777778;FRA
14;Bourges;Bourges (actuel);47,0966666667;2,3919444444;FRA
15;Briare;Briare;47,6402777778;2,735;FRA
16;Brive;Brive;45,1766666667;1,4769444444;FRA
17;Cahors;Cahors;44,5111111111;1,4416666667;FRA
18;Carcassonne;Carcassonne;43,2391666667;2,11;FRA
19;Chalon-sur-Saône;Chalon-sur-Saône;46,7863888889;4,8588888889;FRA
20;Chalons-en-Champagne;Chalons-en-Champagne;48,945;4,3827777778;FRA
21;Chartres;Chartres;48,4297222222;1,5213888889;FRA
22;Châteauroux;Châteauroux;46,8216666667;1,6961111111;FRA
23;Châteauroux;Châteauroux (coordonnées 2016);46,8141666667;1,6838888889;FRA
24;Chatellerault;Chatellerault;46,7997222222;0,5477777778;FRA
25;Chimay;Chimay;50,0355277778;4,3773611111;BEL
26;Clermont-Ferrand;Clermont-Ferrand;45,7861111111;3,1002777778;FRA
27;Collégien;Collégien;48,8344444444;2,7402777778;FRA
28;Cul des Sarts;Cul des Sarts;49,9425555556;4,4345277778;BEL
29;Dax;Dax;43,7116666667;-1,0447222222;FRA
30;Dijon;Dijon;47,2791666667;4,9922222222;FRA
31;Dizy le Gros;Dizy le Gros;49,6308333333;4,0266666667;FRA
32;Doische;Doische;50,1454722222;4,7537222222;BEL
33;Dourdan;Dourdan;48,3194444444;1,995;FRA
34;Ecouen;Ecouen;49,0263888889;2,4141666667;FRA
35;Epernay;Epernay;49,035;3,9494444444;FRA
36;Etampes;Etampes;48,436;2,1670277778;FRA
37;Gedinne;Gedinne;49,9853888889;4,9769444444;BEL
38;Gien;Gien;47,7;2,6369444444;FRA
39;Gueret;Gueret;46,1866666667;1,8761111111;FRA
40;Hannut;Hannut;50,6680555556;5,0861944444;BEL
41;Irun;Irun;43,3380555556;-1,7669444444;ESP
42;Issoudun;Issoudun;46,9583333333;2,0055555556;FRA
43;Jarnac;Jarnac;45,7347222222;-0,1586111111;FRA
44;Jouy-le-Chatel;Jouy-le-Chatel;48,6686111111;3,1319444444;FRA
45;L'Escaillière;L'Escaillière;49,9474166667;4,4205277778;BEL
46;La Châtre;La Châtre;46,5816666667;1,9791666667;FRA
47;La Ferté s/Jouarre;La Ferté s/Jouarre;48,9197222222;3,0425;FRA
48;La Ferte St Aubin;La Ferte St Aubin;47,7283333333;1,9261111111;FRA
49;La Souterraine;La Souterraine;46,2363888889;1,4908333333;FRA
50;Laon;Laon;49,6083333333;3,7113888889;FRA
51;Le Mans;Le Mans;48,0169444444;0,1961111111;FRA
52;Libourne;Libourne;44,9516666667;-0,2505555556;FRA
53;Limoges;Limoges;45,5191666667;1,2052777778;FRA
54;Lorris;Lorris;47,8836111111;2,5119444444;FRA
55;Macquenoise;Macquenoise;49,9760277778;4,1786666667;BEL
